time,lat,lon,depth,mag
19473.863222106484,-0.7335,98.591,25639.0,5.1
19471.93004542824,-0.9345,98.5221,21352.0,5.0
19471.833999305556,-0.8026,98.524,34000.0,7.1
19469.98185775463,-0.8016,98.6029,18401.0,5.2
19469.966148113424,-1.0392,98.3974,16274.0,4.7
19469.93328761574,-0.8863,98.7009,22933.0,4.6
19469.93131478009,-0.8634,98.4325,21080.0,4.6
19469.889530150464,-0.8598,98.5035,22721.0,5.3
19469.887358113425,-0.9402,98.4892,20000.0,5.7
19469.715107847223,-0.7708,98.5755,26714.0,5.8
19467.003629699073,-3.9889,100.3129,16199.000000000002,4.5
19466.58770769676,-3.9924,100.315,10000.0,4.9
19465.944094780094,-3.8909,101.7144,48820.0,4.6
19450.624799872687,0.8431,98.8133,92660.0,6.1
19435.812668020833,-3.7623,101.8745,63378.0,5.0
19427.169303796298,1.9672,97.9366,44501.0,5.3
19419.025549270835,-3.8512,101.8071,57716.0,5.0
19417.9620765625,-1.5655,100.8384,93325.0,5.0
19409.160384097224,0.4047,96.6397,35000.0,4.5
19408.064935775463,1.9113,96.6141,27722.0,5.0
19397.1631424537,0.4469,100.2393,140516.0,4.9
19379.030954837963,-4.2315,101.6891,35000.0,4.5
19363.86662741898,1.9319,97.8491,58679.0,4.5
19361.14035849537,-1.0388,98.303,14935.0,4.6
19356.283163078704,-0.1964,97.2636,16955.0,4.6
19356.178425104164,-0.2207,97.3016,10000.0,5.0
19355.97693811343,-0.2127,97.3082,10000.0,5.3
19344.79665835648,-2.895,99.3826,10000.0,4.6
19330.893882384258,1.1511,97.2095,35000.0,4.9
19320.091270497684,-4.3213,100.387,21979.0,5.1
19314.588201365743,-4.5955,100.5786,10000.0,5.4
19314.58270386574,-4.5164,100.5903,15219.0,4.6
19314.567461655093,-4.9043,100.7862,25000.0,6.9
19312.7652890625,-4.7258,100.8121,10000.0,4.5
19312.251069050926,-4.746,100.7616,11299.0,5.5
19307.485754189813,-3.7365,100.5702,10000.0,5.0
19298.18455769676,1.6723,99.5751,174048.0,4.5
19295.931648935184,1.8495,99.5255,178249.0,5.0
19276.32876284722,0.1482,98.6422,54673.0,4.9
19275.42961517361,1.8177,97.8909,60471.0,4.9
19271.83377988426,1.9232,98.8702,3604.0,4.9
19266.57657614583,-3.8325,101.8353,60652.0,4.9
19263.157334641204,0.1247,99.9476,10000.0,4.5
19255.934043865742,-1.1959,98.5697,19227.0,5.0
19250.642238958335,-2.0335,99.6279,22018.0,4.8
19246.766684872684,-1.2506,98.5854,18992.0,4.9
19246.534997395833,0.5152,98.4895,57869.0,4.5
19245.975005775465,-1.2041,98.618,10000.0,5.7
19245.96578380787,-1.149,98.654,20000.0,6.0
