year month day lon lat dep len wid str dip rake slip M0 Mw dur type
2007 09 08 -148.877 62.283 38.641 56 52.5 212 14 36 0.0339 4.98E+18 6.4 5 1
2007 11 15 -150.707 61.458 38.592 141.5 21.8 203 14 56 0.0784 1.21E+19 6.65 51 1
2008 02 12 -151.54 60.514 41.487 46.8 22.1 197 24 5 0.0937 4.85E+18 6.39 16 2
2009 01 29 -150.336 61.538 35.836 100 82.2 214 9 66 0.0096 3.94E+18 6.33 13 1
2009 03 03 -147.884 62.434 32.645 145.1 37.2 238 10 78 0.0606 1.63E+19 6.74 38 1
2009 07 19 -148.52 62.488 38.459 61.7 52.7 225 16 54 0.062 1.01E+19 6.6 47 1
2009 12 27 -147.705 61.82 25.937 8.7 60.6 209 5 54 0.2815 7.39E+18 6.51 16 1
2010 09 22 -150.172 61.551 34.961 188.7 65.6 223 7 58 0.0122 7.55E+18 6.52 16 1
2010 10 30 -154.661 58.332 69.919 23.9 41.3 217 34 58 0.3019 1.49E+19 6.72 69 2
2011 04 28 -148.488 62.433 36.983 109.5 54.9 223 14 67 0.0322 9.68E+18 6.59 22 1
2011 08 03 -147.839 60.036 18.562 16.5 33.9 218 3 93 0.035 9.77E+17 5.93 1 2
2011 08 28 -144.783 59.722 12.401 102.3 51.8 233 4 62 0.0163 4.32E+18 6.36 7 1
2011 10 19 -149.321 62.113 40.167 91.7 43.7 228 10 81 0.0374 7.50E+18 6.52 66 1
2011 11 11 -148.662 60.803 25.06 138.4 62.5 234 4 50 0.011 4.77E+18 6.39 6 2
2012 02 02 -150.748 60.905 33.085 265.4 40.9 208 11 30 0.008 4.33E+18 6.36 17 1
2012 03 04 -148.62 62.513 40.122 147.5 47.4 224 17 75 0.0273 9.57E+18 6.59 68 2
2012 03 12 -152.245 60.841 72.478 45.9 50.8 194 42 71 0.0764 8.92E+18 6.57 79 2
2012 06 03 -150.11 61.668 35.978 33.8 46.9 233 7 80 0.0337 2.67E+18 6.22 15 1
2012 09 01 -148.189 61.996 29.421 164 114.5 199 8 42 0.0087 8.19E+18 6.54 27 1
2013 01 26 -148.133 62.404 33.497 98.2 43.5 232 11 111 0.0525 1.12E+19 6.63 41 1
2013 04 18 -149.228 61.332 30.95 114.8 89.6 254 4 113 0.0073 3.77E+18 6.32 34 1
2013 05 24 -146.451 61.955 25.677 23.5 31 304 4 105 0.0751 2.74E+18 6.22 3 2
2013 08 28 -148.531 61.771 31.242 203 74.3 193 8 43 0.0086 6.52E+18 6.48 38 1
2013 10 05 -145.539 60.073 15.517 123.3 37.9 262 2 106 0.0228 5.33E+18 6.42 50 2
2014 02 22 -150.348 61.805 39.351 119.9 70.6 224 12 73 0.0167 7.06E+18 6.5 30 1
2014 06 28 -148.549 62.435 37.651 122 66.8 222 15 62 0.0194 7.90E+18 6.53 37 1
2014 11 19 -145.14 59.884 14.177 84.5 48.7 244 3 95 0.0411 8.45E+18 6.55 99 2
2014 12 07 -149.659 61.232 30.541 115.3 72.1 248 4 92 0.0101 4.21E+18 6.35 19 1
2015 05 02 -149.028 62.318 40.948 65.8 58.2 217 15 50 0.0198 3.79E+18 6.32 7 1
2015 07 25 -149.588 61.157 29.85 39.5 79 248 4 96 0.0135 2.11E+18 6.15 18 1
2016 01 01 -148.013 61.993 28.298 76.7 65.7 205 6 43 0.0131 3.30E+18 6.28 14 2
2016 05 22 -148.073 60.574 21.721 60.7 39.6 218 4 50 0.0659 7.92E+18 6.53 41 1
2016 07 20 -151.519 59.484 30.397 67.7 38.7 192 11 43 0.0289 3.80E+18 6.32 46 1
2016 10 15 -150.8 60.554 30.013 119.5 36.6 206 10 75 0.0409 8.94E+18 6.57 92 1
2016 12 12 -148.975 62.372 41.35 91.6 47.4 217 16 57 0.021 4.57E+18 6.37 15 1
2017 01 09 -144.774 59.713 12.312 86.3 49.4 233 5 69 0.0083 1.78E+18 6.1 11 2
2017 08 19 -148.119 62.337 32.324 81 56.8 229 10 74 0.0188 4.32E+18 6.36 29 1
2017 10 25 -144.029 62.409 56.906 196 46 308 13 121 0.0185 8.34E+18 6.55 5 2
2018 01 23 -145.822 59.857 14.307 147.1 38.7 270 3 96 0.0205 5.85E+18 6.44 2 2
2018 02 03 -143.649 62.64 60.516 24 45.3 225 7 49 0.1896 1.03E+19 6.61 12 2
2018 04 22 -150.138 61.632 35.677 115.7 49.5 229 7 72 0.0305 8.73E+18 6.56 22 1
2018 06 18 -146.335 60.863 19.111 21.2 32.9 247 2 99 0.053 1.85E+18 6.11 74 2
2018 08 18 -150.335 61.676 37.388 34.4 38.3 219 10 68 0.0567 3.73E+18 6.31 3 1
2018 09 16 -148.131 62.72 41.247 110.9 50.3 239 17 95 0.0207 5.78E+18 6.44 33 1
2018 12 30 -148.257 63.138 57.736 129.3 73.2 236 24 78 0.0236 1.12E+19 6.63 11 2
2019 08 30 -149.23 61.363 31.242 136.9 76.2 255 4 102 0.0061 3.20E+18 6.27 22 2
2020 03 31 -140.948 60.8 6.026 235.4 57 257 4 71 0.6747 4.52E+20 7.7 117 2
2020 04 19 -153.153 58.082 33.912 63.7 33.1 210 12 89 0.0242 2.56E+18 6.21 12 2
2020 06 19 -150.704 61.611 40.385 52.2 64.4 205 15 61 0.0291 4.90E+18 6.39 27 1
2020 11 15 -148.436 62.472 37.295 83.1 57.1 226 15 69 0.0331 7.85E+18 6.53 23 1
2020 12 21 -150.714 61.654 41.109 20.8 40.2 205 16 48 0.0966 4.04E+18 6.34 29 2
