"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"AIST-SSE"
"    Users cite the paper listed in the "ref" field of each event when using the data downloaded from this website."
"      Itaba, S., & Ando, R. (2011). A slow slip event triggered by teleseismic surface waves, Geophysical Research Letters, 38, L21306, https://doi.org/10.1029/2011GL049593."
"      Kitagawa, Y., Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., & Takeda, N. (2011). The variation of the strain, tilt and groundwater level in the Shikoku District and Kii Peninsula, Japan (from November 2010 to May 2011), Report of the Coordinating Committee for Earthquake Prediction, 86, 519-533."
"      Itaba, S., Kitagawa, Y., Koizumi, N., Takahashi, M., Matsumoto, N., & Takeda, N. (2012). The variation of the strain, tilt and groundwater level in the Shikoku District and Kii Peninsula, Japan (from May to October 2011), Report of the Coordinating Committee for Earthquake Prediction, 87, 399-418."
"      Kitagawa, Y., Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2012). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from November 2011 to April 2012), Report of the Coordinating Committee for Earthquake Prediction, 88, 303-311."
"      Itaba, S., Kitagawa, Y., Koizumi, N., Takahashi, M., Matsumoto, N., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2013a). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from May to October 2012), Report of the Coordinating Committee for Earthquake Prediction, 89, 226-238."
"      Itaba, S., Kitagawa, Y., Koizumi, N., Takahashi, M., Matsumoto, N., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2013b). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from November 2012 to April 2013), Report of the Coordinating Committee for Earthquake Prediction, 90, 254-269."
"      Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Kitagawa, Y., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2014a). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from May to October 2013), Report of the Coordinating Committee for Earthquake Prediction, 91, 230-242."
"      Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Kitagawa, Y., Ochi, T., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2014b). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from November 2013 to April 2014), Report of the Coordinating Committee for Earthquake Prediction, 92, 238-249."
"      Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Kitagawa, Y., Ochi, T., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2015). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from May to October 2014), Report of the Coordinating Committee for Earthquake Prediction, 93, 330-335."
"      Ochi, T., Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Kitagawa, Y., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2015). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from November 2014 to April 2015), Report of the Coordinating Committee for Earthquake Prediction, 94, 250-261."
"      Ochi, T., Itaba, S., Koizumi, N., Takahashi, M., Matsumoto, N., Kitagawa, Y., Takeda, N., Kimura, H., Kimura, T., Matsuzawa, T., & Shiomi, K. (2016). Short-term slow slip events in the Tokai area, the Kii Peninsula and the Shikoku District, Japan (from May 2015 to October 2015), Report of the Coordinating Committee for Earthquake Prediction, 95, 255-264."
"    Notices:"
"      Covered period: from January 2011 to December 2015."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2015,12,30,  ,  ,     ,35.02000,136.92000,  27.000, 5.70,203.0,13.0, 78.0,  49, 29,  0.008,   172800.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,11,25,  ,  ,     ,33.94000,136.03000,  28.000, 5.60,244.0,22.0,119.0,  42, 27,  0.007,   216000.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,11, 3,  ,  ,     ,33.64000,135.78999,  23.000, 5.40,264.0,17.0,139.0,  39, 31,  0.003,   259200.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,11, 9,  ,  ,     ,33.40000,132.44000,  33.000, 5.80,215.0,17.0, 90.0,  80, 16,  0.011,   259200.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,11, 4,  ,  ,     ,33.58000,133.23000,  29.000, 5.90,247.0, 8.0,122.0,  80, 50,  0.005,   259200.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,11, 2,  ,  ,     ,33.66000,133.36000,  29.000, 5.90,253.0,10.0,128.0,  53, 37,  0.013,   172800.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,10,29,  ,  ,     ,33.54000,133.23000,  27.000, 5.80,239.0,10.0,114.0,  79, 50,  0.004,   345600.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015,10,25,  ,  ,     ,34.33000,136.42999,  26.000, 5.80,208.0,18.0, 83.0,  37, 37,  0.010,   259200.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 9, 4,  ,  ,     ,33.35000,132.59000,  31.000, 5.50,224.0,13.0, 99.0,  35, 35,  0.005,   172800.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 9, 1,  ,  ,     ,33.28000,132.55000,  28.000, 6.00,215.0,17.0, 90.0,  70, 50,  0.009,   216000.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 7,20,  ,  ,     ,34.86000,136.89000,  28.000, 5.60,211.0,11.0, 86.0,  66, 28,  0.004,   518400.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 7,18,  ,  ,     ,34.63000,136.75999,  27.000, 5.50,225.0,14.0,100.0,  60, 41,  0.002,   172800.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 6, 4,  ,  ,     ,34.13000,135.97000,  35.000, 5.70,233.0,23.0,108.0,  40, 10,  0.027,   345600.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 5,31,  ,  ,     ,33.60000,133.14999,  27.000, 5.70,228.0,12.0,103.0,  80, 26,  0.005,   216000.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 5,29,  ,  ,     ,33.57000,133.09000,  28.000, 5.90,239.0,10.0,114.0,  59, 31,  0.011,   172800.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 5,26,  ,  ,     ,33.57000,132.58000,  33.000, 5.60,197.0,12.0, 72.0,  39, 39,  0.006,   302400.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 5,14,  ,  ,     ,33.28000,132.24001,  35.000, 5.50,209.0,16.0, 84.0,  17, 17,  0.019,   259200.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 5, 7,  ,  ,     ,34.97000,136.92999,  26.000, 5.70,203.0,13.0, 78.0,  39, 34,  0.009,   345600.00,AIST-SSE,    Ochi et al. (2016); Itaba and Ando (2011),2018-06-26
2015, 4,18,  ,  ,     ,35.07000,137.62000,  20.000, 5.30,269.0,14.0,144.0,  24, 24,  0.005,    86400.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 4,16,  ,  ,     ,35.01000,137.48000,  30.000, 5.70,274.0,11.0,149.0,  38, 10,  0.025,   172800.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 4,14,  ,  ,     ,34.93000,137.30000,  17.000, 5.70,280.0,12.0,155.0,  27, 27,  0.014,   129600.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 4, 4,  ,  ,     ,34.91000,137.25999,  25.000, 5.80,248.0,13.0,123.0,  60, 38,  0.008,   388800.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
2015, 3,26,  ,  ,     ,33.42000,132.39000,  35.000, 5.30,208.0,16.0, 83.0,  37, 37,  0.002,   129600.00,AIST-SSE,    Ochi et al. (2015); Itaba and Ando (2011),2018-06-26
