"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to the projects funded by JSPS KAKENHI, "Science of Slow-to-Fast Earthquakes" (Grant Number JP21H05200) and “Science of Slow Earthquakes” (Grant Number JP16H06472), as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP21H05200 and JP16H06472."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"YoshiIto2013-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Ito, Y., Hino, R., Kido, M., Fujimoto, H., Osada, Y., Inazu, D., Ohta, Y., Iinuma, T., Ohzono, M., Miura, S., Mishina, M., Suzuki, K., Tsuji, T., & Ashi, J. (2013). Episodic slow slip events in the Japan subduction zone before the 2011 Tohoku-Oki earthquake, Tectonophysics, 600, 14-26. https://doi.org/10.1016/j.tecto.2012.08.022."
"    Notices:"
"      Covered period: November 2008 and January 2011."
"      A coordinate system is after Figure 3.20 on the text book by P. Segall published in 2010."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2011, 1,29,  ,  ,     ,38.66000,143.75999,   8.800, 7.00,190.0, 3.0, 90.0, 100, 35,  0.400,  3369600.00,YoshiIto2013-SSE,Ito et al. (2013),2018-06-25
2008,11,18,  ,  ,     ,38.67000,143.70000,   9.100, 6.80,190.0, 3.0, 90.0, 100, 30,  0.200,   604800.00,YoshiIto2013-SSE,Ito et al. (2013),2018-06-25

