"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2021a-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2021). Slow slip events in the Kanto and Tokai regions of central Japan detected using global navigation satellite system data during 1994–2020. Geochemistry, Geophysics, Geosystems, 22, e2020GC009329. https://doi.org/10.1029/2020GC009329."
"    Notices:"
"      Covered Period: from July 24, 1994 to November 23, 2019."
"      The reference time indicates the centroid of the event."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
1995, 1,16,  ,  ,     ,35.35000,142.09100,   9.800, 6.84,186.0,14.0,112.0,  39, 41,  0.359,  1900800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1995, 4,12,  ,  ,     ,36.15500,142.20200,  14.100, 6.36,205.0,15.0,110.0,  41, 39,  0.068,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1995, 7, 3,  ,  ,     ,34.86400,142.10699,   8.000, 6.88,182.0,14.0, 73.0,  40, 40,  0.410,  6652800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1995, 8, 3,  ,  ,     ,36.49700,142.22701,  18.500, 6.79,208.0,15.0, 77.0,  40, 41,  0.291,  6220800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1995,10,19,  ,  ,     ,36.19000,140.12100,  68.300, 6.09,188.0,24.0,102.0,  39, 38,  0.029,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1995,11,21,  ,  ,     ,36.22100,141.03400,  39.400, 6.13,203.0,19.0,125.0,  44, 37,  0.031,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1996, 1, 2,  ,  ,     ,35.32700,141.54800,  21.700, 6.24,181.0,17.0, 91.0,  39, 42,  0.044,   432000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1997, 4,28,  ,  ,     ,35.03300,140.72200,  47.800, 6.05,182.0,23.0, 96.0,  37, 40,  0.026,  1036800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1997, 7,26,  ,  ,     ,36.08800,140.58400,  49.400, 6.01,182.0,23.0, 81.0,  33, 41,  0.025,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1997,10, 2,  ,  ,     ,35.32200,142.04900,  10.500, 6.38,185.0,14.0, 96.0,  40, 41,  0.071,  1382400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1997,10,10,  ,  ,     ,36.46000,142.50000,  13.800, 6.35,213.0,13.0,100.0,  40, 40,  0.066,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1998, 2,21,  ,  ,     ,35.79300,142.15100,  10.900, 6.21,194.0,14.0, 64.0,  39, 42,  0.040,  4492800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1998, 7, 7,  ,  ,     ,34.95500,142.12300,   7.600, 6.59,183.0,14.0, 92.0,  40, 41,  0.149,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1998,10,30,  ,  ,     ,35.38900,142.03101,  11.000, 6.54,185.0,14.0, 93.0,  41, 41,  0.120,  2937600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1999, 3, 4,  ,  ,     ,35.73700,141.88600,  16.300, 6.39,192.0,15.0,109.0,  42, 36,  0.079,   432000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1999, 5, 8,  ,  ,     ,36.28700,141.00200,  40.600, 6.09,200.0,20.0, 68.0,  47, 52,  0.017,   518400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1999, 7, 8,  ,  ,     ,35.22100,140.13200,  66.400, 6.18,173.0,21.0, 96.0,  37, 43,  0.037,  5875200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1999, 9,10,  ,  ,     ,36.27400,140.37399,  59.700, 6.07,192.0,24.0, 74.0,  48, 36,  0.024,  4665600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
1999, 9,24,  ,  ,     ,35.10500,142.05000,   9.700, 6.49,185.0,15.0, 57.0,  40, 40,  0.106,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2000, 2, 6,  ,  ,     ,35.79900,142.09200,  12.200, 6.43,193.0,14.0, 56.0,  36, 47,  0.082,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2000, 6, 4,  ,  ,     ,35.72100,140.81300,  40.700, 6.29,175.0,22.0, 91.0,  19, 29,  0.150,   864000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2000,12, 9,  ,  ,     ,35.75400,141.44000,  25.900, 6.08,184.0,15.0,106.0,  38, 49,  0.022,  2764800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2001, 3,18,  ,  ,     ,36.40400,141.18500,  40.300, 5.94,211.0,17.0, 94.0,  35, 39,  0.019,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2001, 6, 9,  ,  ,     ,35.57500,141.97900,  12.900, 6.29,188.0,15.0, 66.0,  41, 40,  0.052,  2764800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2001,10,30,  ,  ,     ,35.48300,141.86600,  14.900, 6.36,185.0,15.0, 71.0,  42, 39,  0.066,  5270400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2001,12,23,  ,  ,     ,36.66100,141.17300,  44.500, 5.98,209.0,18.0,112.0,  39, 38,  0.020,  2073600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2002, 4,16,  ,  ,     ,35.35500,142.02499,  11.100, 6.38,185.0,14.0,101.0,  40, 39,  0.075,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2003, 4,27,  ,  ,     ,35.47200,141.55299,  22.100, 5.97,182.0,16.0, 53.0,  37, 39,  0.020,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2004, 4, 4,  ,  ,     ,36.54500,141.30099,  40.400, 6.14,211.0,16.0,114.0,  36, 45,  0.032,   518400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2004, 5, 9,  ,  ,     ,35.42900,142.16400,   8.600, 6.80,186.0,13.0, 57.0,  38, 41,  0.321,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2004,12, 7,  ,  ,     ,36.19200,140.88499,  41.600, 6.09,193.0,21.0,106.0,  51, 43,  0.020,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2005, 4,14,  ,  ,     ,35.91500,140.80400,  40.500, 6.29,177.0,22.0, 71.0,  30, 57,  0.050,  4060800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2005, 8, 4,  ,  ,     ,34.81500,142.13600,   7.600, 6.78,184.0,13.0,110.0,  40, 40,  0.287,   518400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2005, 8,30,  ,  ,     ,35.22700,140.80701,  43.300, 6.17,177.0,24.0, 70.0,  41, 38,  0.036,  6048000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2005,10,20,  ,  ,     ,36.53400,141.49600,  36.400, 6.47,213.0,16.0,101.0,  50, 71,  0.046,   432000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2005,12, 1,  ,  ,     ,34.81600,140.78000,  45.200, 6.31,181.0,22.0,100.0,  62, 41,  0.036,  3283200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2006, 3,10,  ,  ,     ,35.20100,142.02299,  10.600, 6.29,185.0,15.0, 90.0,  41, 40,  0.052,  6393600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2006, 5, 1,  ,  ,     ,35.84400,140.96700,  35.200, 6.00,177.0,22.0, 77.0,  51, 38,  0.016,  3542400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2006,10,28,  ,  ,     ,35.73700,142.07800,  12.000, 6.18,192.0,14.0,109.0,  39, 42,  0.035,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2007,12,10,  ,  ,     ,35.68600,141.92400,  14.900, 6.21,190.0,15.0, 63.0,  42, 39,  0.039,   691200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008, 4, 8,  ,  ,     ,35.30600,140.12399,  66.500, 6.07,177.0,23.0, 44.0,  44, 41,  0.023,  1209600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008, 5,26,  ,  ,     ,35.53900,142.01500,  11.900, 6.46,187.0,14.0, 52.0,  40, 39,  0.099,   518400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008,10, 5,  ,  ,     ,35.05900,140.92500,  39.900, 6.28,181.0,23.0, 75.0,  74, 36,  0.031,  5702400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008,12, 2,  ,  ,     ,36.46900,141.87199,  25.500, 6.08,206.0,17.0, 76.0,  39, 38,  0.027,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008,12,21,  ,  ,     ,36.66100,142.28999,  19.600, 6.48,207.0,14.0, 70.0,  39, 41,  0.104,  3456000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 2, 4,  ,  ,     ,35.46700,141.92000,  13.700, 6.30,186.0,15.0, 80.0,  41, 40,  0.056,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 3, 4,  ,  ,     ,35.47900,141.44000,  24.600, 6.06,179.0,16.0, 97.0,  41, 41,  0.024,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
