"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2021b-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2021). Slow slip events in the Kanto and Tokai regions of central Japan detected using global navigation satellite system data during 1994–2020. Geochemistry, Geophysics, Geosystems, 22, e2020GC009329. https://doi.org/10.1029/2020GC009329."
"    Notices:"
"      Covered Period: from July 24, 1994 to November 23, 2019."
"      The reference time indicates the centroid of the event."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
1994,12,29,  ,  ,     ,35.81500,140.35600,  34.400, 6.12,262.0,17.0,134.0,  41, 58,  0.020,  1728000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1996, 5,19,  ,  ,     ,34.88100,140.81100,  10.400, 6.53,260.0,12.0, 87.0,  51, 31,  0.127,   950400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1996,11, 2,  ,  ,     ,35.24400,139.48500,   3.600, 5.50,282.0,27.0,123.0,  34, 53,  0.003,  6825600.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1997, 2,11,  ,  ,     ,34.85100,141.75000,  13.300, 6.66,260.0, 5.0,121.0,  41, 38,  0.199,  3456000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1997, 4, 8,  ,  ,     ,35.96200,139.75400,  40.700, 5.92,257.0,34.0, 96.0,  49, 32,  0.015,   864000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1997,11,11,  ,  ,     ,35.24700,140.80000,  17.600, 5.74,248.0,20.0, 81.0,  38, 37,  0.009,  3283200.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1998, 2,24,  ,  ,     ,34.59400,141.62000,   9.600, 6.29,279.0, 9.0,122.0,  40, 40,  0.053,    86400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1998, 3, 4,  ,  ,     ,35.91100,140.13100,  35.800, 5.96,255.0,25.0,129.0,  44, 48,  0.013,  6393600.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1998,10,11,  ,  ,     ,34.76400,141.74001,  12.500, 6.69,266.0, 5.0,128.0,  40, 40,  0.212,  3974400.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
1999, 5,10,  ,  ,     ,35.33900,140.83800,  20.600, 5.97,242.0,19.0, 72.0,  52, 48,  0.012,  3024000.00,Nishimura2021b-SSE,Nishimura (2021),2021-08-30
