"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to the projects funded by JSPS KAKENHI, "Science of Slow-to-Fast Earthquakes" (Grant Number JP21H05200) and “Science of Slow Earthquakes” (Grant Number JP16H06472), as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP21H05200 and JP16H06472."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Okada2022a-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Okada, Y., Nishimura, T., Tabei, T. et al. (2022). Development of a detection method for short-term slow slip events using GNSS data and its application to the Nankai subduction zone. Earth Planets Space 74, 18. https://doi.org/10.1186/s40623-022-01576-8."
"    Notices:"
"      Covered Period: from February 1997 to January 2020"
"      The reference date is the center day of the duration."
"      This catalog records class 1 SSEs. The criteria for the categorization are described in the original paper."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2020, 1, 6,  ,  ,     ,33.73900,134.36700,  23.786, 5.85,266.5, 8.0,127.8,  65, 40,  0.007,   345600.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019,11,13,  ,  ,     ,34.95800,137.06500,  27.244, 5.99,218.0,16.6, 83.6,  92, 27,  0.012,   864000.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019,11, 8,  ,  ,     ,33.49100,132.53600,  27.331, 5.97,201.5,18.7, 76.5,  74, 40,  0.010,   172800.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 9,15,  ,  ,     ,33.79700,134.31200,  23.085, 5.86,269.5,13.3,131.2,  69, 49,  0.006,   172800.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 8,14,  ,  ,     ,33.82700,133.48500,  26.843, 6.22,221.0, 5.2, 97.3, 125, 59,  0.009,   604800.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 6,25,  ,  ,     ,34.69300,137.25500,  22.140, 5.83,227.9,11.8,103.1,  68, 51,  0.005,  1555200.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 5,19,  ,  ,     ,33.88200,133.91299,  25.560, 5.82,238.7, 6.1,111.0,  79, 30,  0.007,    86400.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 3, 5,  ,  ,     ,33.85900,133.50200,  26.529, 6.29,219.3, 5.7, 92.6, 146, 51,  0.011,   345600.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 3, 1,  ,  ,     ,34.84900,136.94200,  26.815, 5.90,214.5,17.3, 76.2,  76, 31,  0.009,   864000.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
2019, 2, 9,  ,  ,     ,33.06200,132.56000,  25.804, 6.26,205.4,11.4, 79.4,  39, 51,  0.038,  3456000.00,Okada2022a-SSE,Okada et al. (2022),2022-04-05
