"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Okada2022b-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Okada, Y., Nishimura, T., Tabei, T. et al. (2022). Development of a detection method for short-term slow slip events using GNSS data and its application to the Nankai subduction zone. Earth Planets Space 74, 18. https://doi.org/10.1186/s40623-022-01576-8."
"    Notices:"
"      Covered Period: from February 1997 to January 2020"
"      The reference date is the center day of the duration."
"      This catalog records class 2 SSEs. The criteria for the categorization are described in the original paper."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2019,12,11,  ,  ,     ,34.00200,138.34500,   3.892, 6.09,222.0,10.1, 97.2,  58, 30,  0.025,   604800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019,10,10,  ,  ,     ,36.00700,137.52499,  77.004, 6.28,282.5,24.4,153.6,  67, 33,  0.038,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019, 4, 4,  ,  ,     ,33.38600,136.30400,  12.584, 5.66,271.1,18.5,124.0, 113, 51,  0.002,   432000.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2019, 1,30,  ,  ,     ,33.84200,134.51801,  25.439, 5.60,274.9,13.5,134.3,  54, 21,  0.007,   259200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,11,19,  ,  ,     ,32.42500,131.91499,  28.416, 5.95,202.2,25.8, 96.8,  50, 25,  0.021,  1555200.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018,10,12,  ,  ,     ,34.96200,138.57800,  12.147, 5.63,224.4,14.2, 80.6, 118, 31,  0.002,   518400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018, 6,14,  ,  ,     ,33.85100,134.04201,  25.329, 5.67,255.2, 7.8,129.7,  59, 29,  0.006,    86400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018, 6,10,  ,  ,     ,33.22500,132.12500,  34.086, 6.03,202.8,39.0, 97.4,  98, 35,  0.010,  2246400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2018, 1,14,  ,  ,     ,34.77300,136.23000,  40.780, 5.81,201.0,33.6, 95.0,  52, 34,  0.009,  1814400.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
2017,10,22,  ,  ,     ,33.40700,132.39900,  28.507, 5.85,202.0,26.0, 64.8,  43, 36,  0.012,  1900800.00,Okada2022b-SSE,Okada et al. (2022),2022-04-05
