"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Sekine2010-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Sekine, S., Hirose, H., & Obara, K. (2010). Along-strike variations in short-term slow slip events in the southwest Japan subduction zone, Journal of Geophysical Research: Solid Earth, 115, B00A27. https://doi.org/10.1029/2008JB006059."
"    Notices:"
"      Covered period: from January 2001 to May 2008."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2008, 5,14,  ,  ,     ,34.97400,137.24300,  30.000, 5.70,240.0,12.0,115.0,  33, 25,  0.012,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,12,31,  ,  ,     ,35.26100,138.12399,  31.000, 5.90,229.0,10.0, 84.0,  51, 33,  0.012,   604800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,10, 5,  ,  ,     ,34.91100,137.29700,  28.000, 5.60,252.0,27.0,124.0,  39, 26,  0.009,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 2, 4,  ,  ,     ,35.08100,137.38699,  33.000, 5.70,219.0,23.0, 65.0,  37, 25,  0.011,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 9,25,  ,  ,     ,35.05500,137.69800,  27.000, 5.60,258.0,18.0,132.0,  52, 20,  0.007,   604800.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006, 8,27,  ,  ,     ,35.25700,138.06500,  26.000, 5.70,231.0,12.0,105.0,  28, 49,  0.009,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006, 1,19,  ,  ,     ,34.88400,137.41800,  28.000, 5.40,267.0, 1.0,142.0,  13, 27,  0.011,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005, 7,20,  ,  ,     ,34.92900,137.71800,  29.000, 5.70,258.0,30.0,129.0,  41, 41,  0.008,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006, 1,16,  ,  ,     ,34.94400,137.22301,  25.000, 5.50,249.0, 8.0,124.0,  30, 29,  0.006,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,12,17,  ,  ,     ,34.96400,137.32401,  35.000, 5.80,246.0,36.0,116.0,  30, 29,  0.018,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004, 2,12,  ,  ,     ,35.02500,137.49001,  16.000, 5.50,229.0, 7.0,104.0,  39, 28,  0.004,   518400.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003, 5,29,  ,  ,     ,34.83000,137.71800,  31.000, 6.00,260.0, 3.0,135.0,  80, 50,  0.007,   432000.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2003,12,31,  ,  ,     ,34.90900,137.79100,  22.000, 5.80,270.0,32.0,140.0,  78, 45,  0.005,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008, 6,15,  ,  ,     ,34.37300,136.44701,  25.000, 5.80,221.0,17.0, 96.0,  53, 34,  0.009,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,10,16,  ,  ,     ,34.80900,136.98000,  12.000, 5.60,221.0,23.0, 42.0,  48, 45,  0.003,   345600.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008, 3, 5,  ,  ,     ,34.62900,136.97501,  21.000, 5.90,237.0,39.0,108.0,  51, 37,  0.010,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007, 3,23,  ,  ,     ,34.62700,136.52400,  20.000, 5.60,208.0,25.0, 84.0,  28, 44,  0.008,   259200.00,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
