"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Takagi2019-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Takagi, R.,  Uchida, N., &  Obara, K. (2019).  Along‐strike variation and migration of long‐term slow slip events in the western Nankai subduction zone, Japan. Journal of Geophysical Research: Solid Earth,  124,  3853– 3880. https://doi.org/10.1029/2018JB016738"
"    Notices:"
"      Covered period: from March 1996 to September 2017."
"      The reference point given by the latitude, longitude, and depth is the location of the center of rectangular faults."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2015,10,10,  ,  ,     ,32.94148,132.85751,  17.150, 6.00,229.8,14.1, 93.9,  44, 23,  0.035, 12787200.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2014, 3,21,  ,  ,     ,33.10953,132.83807,  24.133, 6.50,235.8,12.2,114.3,  51, 61,  0.049, 19440000.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2012,10,19,  ,  ,     ,33.59245,133.69038,  22.937, 6.30,233.2,10.4, 87.0,  39, 57,  0.040, 26265600.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2013, 7,15,  ,  ,     ,32.91688,132.38194,  18.349, 6.80,209.9,32.9, 84.5, 169, 51,  0.063, 41644800.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2011, 4,10,  ,  ,     ,32.16292,131.86118,  20.392, 6.60,194.2,31.8, 72.1,  66, 58,  0.068, 29808000.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2010,10,25,  ,  ,     ,33.41098,133.62752,  19.905, 6.60,239.0,12.2, 89.7,  78, 66,  0.050, 39571200.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2009,11, 8,  ,  ,     ,32.95574,132.81429,  19.618, 6.90,241.8,15.1,112.0,  75, 49,  0.211, 52531200.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2006,10, 6,  ,  ,     ,32.00760,131.72421,  25.434, 6.60,195.1,31.8, 73.8,  30, 42,  0.172, 43372800.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2008, 5,22,  ,  ,     ,32.75916,132.22090,  22.515, 6.50,206.5,30.8, 80.9,  50, 52,  0.074, 33004800.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2009, 8,12,  ,  ,     ,32.20840,131.89310,  19.321, 6.60,193.6,31.5, 82.6,  76, 47,  0.081, 36115200.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2006, 5,31,  ,  ,     ,32.96343,132.80653,  19.077, 6.40,238.3,15.4, 96.1,  64, 90,  0.020, 20563200.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2004, 7,23,  ,  ,     ,33.42809,133.36406,  22.864, 6.30,239.4,12.7,102.7,  48, 35,  0.059, 31968000.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2005, 2,21,  ,  ,     ,32.51009,132.01901,  18.473, 6.60,198.5,32.0, 86.6,  90, 50,  0.066, 36806400.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2003, 5, 8,  ,  ,     ,32.97915,132.83669,  19.454, 6.90,240.0,15.0,109.7,  82, 53,  0.154, 28425600.00,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
