"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2014-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2014), Short-term slow slip events along the Ryukyu trench, southwestern Japan, observed by continuous GNSS, Progress in Earth and Planetary Science, 1:22, https://doi.org/10.1186/s40645-014-0022-5."
"    Notices:"
"      Covered period: from January 1, 1997 to November 10, 2013."
"  "
"Nishimura2013-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T., Matsuzawa, T. and Obara, K. (2013), Detection of short-term slow slip events along the Nankai Trough, southwest Japan, using GNSS data, Journal of Geophysical Research: Solid Earth, 118, 3112-3125, https://doi.org/10.1002/jgrb.50222."
"    Notices:"
"      Covered period: from June 2, 1996 to January 7, 2012."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2013,11, 7,  ,  ,     ,28.36100,130.72600,   7.400, 5.99,216.0,18.0,100.0,  22, 40,  0.034,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013,10,24,  ,  ,     ,33.48000,132.67999,  29.500, 5.98,205.0,13.0, 86.0,  38, 44,  0.017,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013,10,19,  ,  ,     ,24.40200,125.93000,  22.000, 6.36,240.0,20.0,138.0,  68, 39,  0.040,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013,10, 7,  ,  ,     ,26.14900,128.19600,  16.500, 5.91,234.0,12.0, 89.0,  66, 26,  0.013,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 9,24,  ,  ,     ,30.35900,131.50600,  15.800, 6.25,204.0,19.0, 98.0,  63, 39,  0.029,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 9, 3,  ,  ,     ,28.64700,129.80901,  43.300, 6.35,227.0,30.0,100.0,  26, 40,  0.101,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 8, 5,  ,  ,     ,24.22600,124.30400,  28.200, 6.51,260.0,25.0,110.0, 104, 48,  0.037,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 7, 2,  ,  ,     ,26.37500,127.88000,  24.000, 5.88,228.0,21.0,103.0,  54, 39,  0.010,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 7, 2,  ,  ,     ,32.00800,131.88600,  16.800, 6.08,194.0,31.0, 91.0,  23, 50,  0.035,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 6,23,  ,  ,     ,30.93800,130.66800,  62.500, 6.25,202.0,56.0, 88.0,  33, 40,  0.054,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 6, 4,  ,  ,     ,33.63100,133.46899,  27.900, 6.09,245.0, 8.0,122.0,  84, 40,  0.013,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 5,16,  ,  ,     ,28.59000,129.97800,  35.300, 6.10,226.0,28.0, 68.0,  39, 38,  0.029,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 3, 7,  ,  ,     ,24.44700,125.88600,  23.900, 6.25,240.0,21.0,144.0,  75, 39,  0.025,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2013, 1, 2,  ,  ,     ,24.21900,123.96300,  30.100, 6.55,260.0,28.0, 98.0,  92, 55,  0.042,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
2012,12, 9,  ,  ,     ,33.70800,133.54900,  27.900, 6.25,240.0, 7.0,118.0, 136, 46,  0.012,            ,Nishimura2014-SSE,Nishimura 2014 doi:10.1186/s40645-014-0022-5,2017-11-29
