Event, year, stage,Duration (Days),Depth of Maximum Slip (km),Maximum Slip D (mm),Stress Drop (kPa),Peak Slip Velocity V (cm/yr),Event V/Vo,Downdip Width (km),D/r,Mw,Reference
Kapiti, 2003,, 202,53,200,111.3,36.1,24.1,48,8.3E-06,6.6,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 1),365,53,230,55.8,23.0,15.3,97,4.7E-06,6.9,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 2),60,50,200,39.6,121.7,81.1,104,3.8E-06,6.9,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 3),120,50,190,43.5,57.8,38.5,89,4.3E-06,6.8,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 1),120,53,80,26.4,24.3,16.2,48,3.4E-06,6.3,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 2),60,53,270,128.7,164.3,109.5,69,7.9E-06,6.7,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 3),90,38,110,32.1,44.6,29.7,73,3.0E-06,6.6,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 4),180,38,60,24.6,12.2,8.1,60,2.0E-06,6.4,"Wallace & Beavan, 2010"
Manawatu, 2010,11,(stage 1),90,53,55,11.1,22.3,14.9,81,1.4E-06,6.5,"Wallace et al., 2012"
Manawatu, 2010,11,(stage 2),120,38,160,31.8,48.7,32.4,95,3.4E-06,6.9,"Wallace et al., 2012"
Manawatu, 2010,11,(stage 3),240,38,90,23.1,13.7,9.1,83,2.2E-06,6.7,"Wallace et al., 2012"
Kapiti, 2016,,(still ongoing),300,45,220,53.7,26.8,17.8,88,5.0E-06,6.9,"Wallace et al., 2018"
Kapiti, 2003,,,202,53,200,111.3,36.1,24.1,48,8.3E-06,6.6,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 1),365,53,230,55.8,23.0,15.3,97,4.7E-06,6.9,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 2),60,50,200,39.6,121.7,81.1,104,3.8E-06,6.9,"Wallace & Beavan, 2010"
Manawatu, 2004,, (stage 3),120,50,190,43.5,57.8,38.5,89,4.3E-06,6.8,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 1),120,53,80,26.4,24.3,16.2,48,3.4E-06,6.3,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 2),60,53,270,128.7,164.3,109.5,69,7.9E-06,6.7,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 3),90,38,110,32.1,44.6,29.7,73,3.0E-06,6.6,"Wallace & Beavan, 2010"
Kapiti, 2008,, (stage 4),180,38,60,24.6,12.2,8.1,60,2.0E-06,6.4,"Wallace & Beavan, 2010"
Manawatu, 2010/11, (stage 1),90,53,55,11.1,22.3,14.9,81,1.4E-06,6.5,"Wallace et al., 2012"
