Event, Mw, Mw_error, Duration, Duration_error, Longitude, Latitude, Depth, Time, Aseismic_percent
1, 5.99, 0.05, 36.2, 3.61, -70.75, -18.73, 43.06, 2012.37, 100.0
2, 5.96, 0.11, 37.38, 3.16, -76.58, -13.78, 27.37, 2010.27, 100.0
3, 5.55, 0.19, 28.91, 3.74, -70.4, -23.29, 31.54, 2009.19, 100.0
4, 5.72, 0.13, 35.82, 3.42, -70.4, -23.29, 31.54, 2011.16, 96.9
5, 5.67, 0.09, 30.29, 5.82, -70.4, -23.29, 31.54, 2012.76, 96.89
6, 5.96, 0.1, 14.25, 3.38, -75.8, -14.76, 28.2, 2013.27, 99.99
7, 5.82, 0.05, 34.82, 4.35, -70.79, -22.87, 19.91, 2006.51, 100.0
8, 5.91, 0.05, 17.55, 3.35, -70.52, -19.83, 34.12, 2014.46, 93.0
9, 5.87, 0.09, 23.18, 4.66, -70.59, -19.55, 34.83, 2006.74, 100.0
10, 5.79, 0.09, 37.63, 4.19, -70.59, -19.55, 34.83, 2009.76, 95.83
11, 6.08, 0.05, 10.46, 3.2, -71.19, -17.72, 57.71, 2011.36, 100.0
12, 5.55, 0.16, 12.12, 4.96, -70.49, -23.5, 29.71, 2011.31, 99.99
13, 6.01, 0.06, 33.13, 2.85, -75.63, -15.23, 21.36, 2012.17, 100.0
14, 5.92, 0.05, 35.7, 7.17, -71.1, -18.67, 32.04, 2013.74, 99.64
15, 5.95, 0.1, 27.02, 3.49, -74.45, -15.36, 54.24, 2014.68, 99.6
16, 6.09, 0.08, 20.91, 3.12, -70.25, -21.06, 35.57, 2014.04, 100.0
17, 5.81, 0.09, 32.62, 4.68, -70.5, -20.35, 30.15, 2008.08, 100.0
18, 5.63, 0.15, 9.4, 2.96, -70.5, -20.35, 30.15, 2012.8, 98.99
19, 5.72, 0.09, 25.28, 3.29, -70.5, -20.35, 30.15, 2013.17, 86.69
20, 6.14, 0.07, 40.68, 2.88, -75.58, -14.79, 35.3, 2011.97, 100.0
21, 5.78, 0.07, 19.67, 3.04, -70.12, -20.11, 46.53, 2009.88, 99.58
22, 5.57, 0.15, 28.29, 4.69, -70.34, -23.07, 32.78, 2006.83, 77.33
23, 5.74, 0.05, 34.0, 2.19, -70.59, -23.12, 25.67, 2006.66, 100.0
24, 6.01, 0.08, 21.72, 10.49, -69.49, -22.1, 63.41, 2007.13, 100.0
25, 5.82, 0.08, 11.26, 3.61, -74.99, -14.97, 50.9, 2012.87, 100.0
26, 6.21, 0.07, 38.17, 3.81, -76.92, -13.78, 18.57, 2009.89, 100.0
27, 6.13, 0.06, 23.75, 4.3, -76.92, -13.78, 18.57, 2010.74, 100.0
28, 5.81, 0.06, 35.64, 5.27, -70.92, -23.67, 19.03, 2011.78, 100.0
29, 5.85, 0.08, 16.14, 2.32, -70.92, -23.67, 19.03, 2014.68, 100.0
30, 5.77, 0.07, 31.28, 3.74, -70.05, -23.79, 45.21, 2010.16, 100.0
31, 5.76, 0.08, 25.14, 3.03, -70.36, -22.23, 30.21, 2008.08, 100.0
32, 5.71, 0.23, 9.24, 4.68, -70.36, -22.23, 30.21, 2014.39, 99.22
33, 5.83, 0.06, 38.11, 2.56, -70.66, -18.02, 66.06, 2011.92, 98.07
