Region_name Time_period Cluster_id Centroid_Lon(deg) Centroid_Lat(deg) Starting_time(year) Starting_time(month) Starting_time(day) Max_magnitude Median_inter-event_time(day) Duration(day) Number_of_events
CENTRAL_CHILE1 1995-1999 cluster_2 287.781 -33.4763 1998 6 23 5.7 4.934326 114.3978 9
CENTRAL_CHILE1 1995-1999 cluster_3 287.854 -34.0401 1995 3 15 5.1 10.14673 220.7629 11
CENTRAL_CHILE2 1995-1999 cluster_1 288.387 -31.0396 1997 12 9 4.6 3.963867 33.59155 5
CENTRAL_CHILE2 1995-1999 cluster_2 287.747 -31.6254 1998 10 26 4.7 1.687500 14.50684 8
CENTRAL_CHILE2 1995-1999 cluster_3 288.59 -31.84 1997 7 22 4.9 24.90729 95.30139 5
CENTRAL_CHILE3 1995-1999 cluster_1 288.435 -28.9612 1995 10 31 6.7 1.8188477E-02 1.027588 6
CENTRAL_CHILE3 1995-1999 cluster_2 288.488 -30.9014 1998 10 30 4.7 19.01990 73.17603 5
CENTRAL_CHILE3 1995-1999 cluster_4 287.918 -31.5569 1995 4 27 5.1 7.919159 125.3541 9
CENTRAL_CHILE4 1995-1999 cluster_2 288.69 -29.7522 1996 11 17 6.2 22.00061 115.4293 6
NICARAGUA 1995-1999 cluster_1 271.099 12.4952 1996 11 24 5.7 1.273682 45.44312 12
NICARAGUA 1995-1999 cluster_2 271.724 12.0862 1995 5 13 5.7 4.469971 68.08240 9
NICARAGUA 1995-1999 cluster_3 273.304 12.4282 1999 8 5 5.2 7.0922852E-02 20.16431 9
GUATEMALA 1995-1999 cluster_1 265.723 14.8361 1995 9 6 6. 0.6574707 8.762268 7
GUATEMALA 1995-1999 cluster_2 266.668 14.5457 1997 7 17 5.6 5.759888 220.1447 12
MEXICO2 1995-1999 cluster_1 261.992 15.9942 1996 2 25 7.1 3.9306641E-02 0.2567139 6
ALEUTIAN2 1995-1999 cluster_1 191.396 52.3487 1998 1 23 5.9 4.8828125E-02 0.1828613 6
ALEUTIAN2 1995-1999 cluster_2 191.353 52.3452 1996 3 26 5.3 0.1411133 1.644775 9
ALEUTIAN2 1995-1999 cluster_3 193.98 54.1804 1996 3 11 5.2 5.4931641E-02 3.553833 23
ALEUTIAN3 1995-1999 cluster_2 191.59 52.4263 1998 1 5 5.9 6.9335938E-02 48.05530 12
ALEUTIAN4 1995-1999 cluster_1 184.731 51.6296 1996 8 25 5. 17.47363 67.08777 5
ALEUTIAN7 1995-1999 cluster_1 175.398 51.485 1998 8 20 5.4 0.4482422 8.067139 6
KAMCHATKA1 1995-1999 cluster_1 162.556 55.2483 1997 12 3 5.5 4.9865723E-02 1.663940 9
KAMCHATKA3 1995-1999 cluster_1 157.59 50.9268 1995 12 11 5. 25.89673 103.0370 5
KAMCHATKA4 1995-1999 cluster_1 154.125 46.8818 1999 7 9 5.1 22.05872 106.7146 5
KAMCHATKA4 1995-1999 cluster_2 154.719 48.1754 1997 5 22 5.3 20.25653 169.8981 9
KURILE1 1995-1999 cluster_1 151.73 45.4175 1996 10 29 5.4 0.2552490 3.282349 6
KURILE1 1995-1999 cluster_2 151.66 45.445 1996 9 29 6. 0.2025146 2.985718 8
KURILE1 1995-1999 cluster_3 153.08 46.1758 1997 3 13 5.5 1.0864258E-02 44.88879 10
KURILE2 1995-1999 cluster_1 150.29 44.8119 1995 12 1 6.4 2.8076172E-03 1.890015 10
HOKKAIDO 1995-1999 cluster_1 144.682 41.9207 1997 2 11 5.9 2.651978 242.1062 6
HOKKAIDO 1995-1999 cluster_2 146.625 43.3372 1995 3 6 5.2 5.848846 174.9418 21
HOKKAIDO 1995-1999 cluster_3 147.518 43.3708 1995 2 26 5.6 1.525269 80.01794 17
HOKKAIDO 1995-1999 cluster_4 147.948 43.4514 1996 2 4 6.1 1.5747070E-02 34.78491 12
HOKKAIDO 1995-1999 cluster_5 146.847 43.3814 1995 1 19 6.5 0.5055237 2.241089 5
HOKKAIDO 1995-1999 cluster_6 147.424 43.821 1999 6 26 5.2 10.07996 73.24097 7
NORTHERN_JAPAN_TRENCH 1995-1999 cluster_1 143.416 40.0795 1995 1 27 6.1 8.290222 117.5565 15
NORTHERN_JAPAN_TRENCH 1995-1999 cluster_2 143.515 39.76 1995 6 13 5.9 0.3944702 24.51965 5
NORTHERN_JAPAN_TRENCH 1995-1999 cluster_3 142.417 40.6343 1995 1 18 4.9 7.911682 69.59027 6
SOUTHERN_JAPAN_TRENCH 1995-1999 cluster_1 141.735 35.9022 1998 2 7 5.9 8.586182 610.4357 16
SOUTHERN_JAPAN_TRENCH 1995-1999 cluster_3 141.413 37.0184 1998 8 16 5.4 49.29395 168.1155 5
IZU_BONIN1 1995-1999 cluster_1 141.817 30.6546 1998 1 20 5.6 8.674622 107.2068 7
IZU_BONIN1 1995-1999 cluster_2 141.518 32.5179 1996 9 18 5.7 2.428467 30.95190 7
MARIANA2 1995-1999 cluster_1 147.288 16.9932 1997 1 13 5.6 0.5850830 24.45862 8
MARIANA2 1995-1999 cluster_2 146.139 21.1554 1998 2 3 4.8 6.116882 22.11169 5
MARIANA5 1995-1999 cluster_1 143.536 11.9019 1998 10 28 5.5 18.96252 145.0386 7
MARIANA5 1995-1999 cluster_2 143.249 11.991 1998 5 5 5.6 7.3181152E-02 72.01685 5
MARIANA5 1995-1999 cluster_3 143.406 12.3699 1997 3 11 4.8 0.9771729 105.1530 7
KYUSHU_RYUKYU1 1995-1999 cluster_2 129.422 29.2822 1995 12 15 5. 1.110840 64.40381 5
KYUSHU_RYUKYU1 1995-1999 cluster_3 131.136 28.9029 1999 3 25 5.9 0.1401367 35.76953 7
KYUSHU_RYUKYU2 1995-1999 cluster_1 128.697 26.1077 1997 3 24 5.1 0.2565918 17.50769 6
PHILIPPINES1 1995-1999 cluster_1 125.754 11.9638 1995 4 15 6.2 1.076569 5.455688 5
PHILIPPINES1 1995-1999 cluster_3 125.158 13.1172 1997 12 22 5.3 6.4819336E-02 1.049316 6
PHILIPPINES2 1995-1999 cluster_2 124.662 12.744 1998 11 5 4.6 0.3515625 2.270020 5
PHILIPPINES3 1995-1999 cluster_1 126.505 9.011 1996 3 12 5.2 0.2661133 9.749268 5
PHILIPPINES3 1995-1999 cluster_2 126.176 9.89433 1997 4 8 4.9 0.1378174 6.525757 6
PHILIPPINES3 1995-1999 cluster_3 126.134 9.98286 1996 10 21 5.2 0.1228027 2.323853 7
PHILIPPINES3 1995-1999 cluster_4 126.367 9.85464 1996 10 27 5.7 1.1108398E-02 3.938232 14
PHILIPPINES4 1995-1999 cluster_1 126.751 5.47856 1999 6 18 6.4 1.331665 23.79346 9
PHILIPPINES4 1995-1999 cluster_2 126.995 5.96433 1997 1 26 5.1 11.28149 99.46021 6
PHILIPPINES4 1995-1999 cluster_3 126.46 6.3376 1998 3 11 5.4 0.6179199 2.571045 5
PHILIPPINES4 1995-1999 cluster_4 126.677 6.2444 1995 11 5 5.4 25.09534 96.23975 5
PHILIPPINES4 1995-1999 cluster_5 126.894 6.46 1999 7 4 5.4 10.49304 80.96191 7
PHILIPPINES4 1995-1999 cluster_6 126.926 7.2184 1996 12 13 5.4 22.69629 91.59583 5
PHILIPPINES4 1995-1999 cluster_7 126.722 7.98533 1996 8 19 5. 21.90967 114.4628 6
PHILIPPINES4 1995-1999 cluster_8 125.863 8.45614 1999 3 13 5.7 0.8592529 94.42358 7
PHILIPPINES5 1995-1999 cluster_1 128.77 2.24657 1997 11 30 5.4 0.4302368 60.66187 7
PHILIPPINES5 1995-1999 cluster_2 128.711 2.31629 1995 12 1 5.4 0.2652588 40.99329 7
NEW_GUINEA1 1995-1999 cluster_1 141.137 -2.822 1997 12 17 5.4 68.67017 288.3387 5
TONGA1 1995-1999 cluster_1 185.746 -18.2208 1995 2 4 5.3 164.4116 682.1823 5
TONGA1 1995-1999 cluster_10 186.095 -15.1 1998 1 25 4.9 18.10565 71.59192 5
TONGA1 1995-1999 cluster_2 187.217 -18.1487 1999 3 9 5.2 40.06567 199.7356 6
TONGA1 1995-1999 cluster_3 186.554 -16.9211 1999 3 23 5.8 7.877686 95.56445 7
TONGA1 1995-1999 cluster_5 186.208 -15.7468 1997 8 19 5.2 26.15149 182.9099 6
TONGA1 1995-1999 cluster_6 186.788 -15.4304 1999 5 21 5.5 9.427734 167.9021 14
TONGA1 1995-1999 cluster_7 186.778 -15.3952 1997 3 6 6.4 2.468201 86.87744 11
TONGA1 1995-1999 cluster_9 186.356 -15.1353 1998 9 30 5.5 7.908203 92.67236 8
TONGA2 1995-1999 cluster_1 185.578 -21.1159 1999 10 8 5.9 4.855469 52.97974 8
TONGA2 1995-1999 cluster_2 185.917 -20.662 1998 12 8 6.3 8.055908 118.6013 13
TONGA2 1995-1999 cluster_3 185.74 -21.0234 1995 8 29 6.1 7.643768 30.80414 5
TONGA2 1995-1999 cluster_4 186.182 -20.312 1999 6 27 5.7 22.66113 101.2849 6
TONGA2 1995-1999 cluster_5 185.512 -19.0387 1996 8 25 6. 31.54529 161.8542 6
TONGA3 1995-1999 cluster_1 184.708 -22.9289 1996 10 22 5.8 5.004517 152.7767 13
TONGA3 1995-1999 cluster_2 185.016 -21.844 1996 3 23 5.6 14.99365 97.12988 5
TONGA4 1995-1999 cluster_1 183.534 -27.0913 1995 1 8 5.7 0.9246216 92.39105 14
TONGA4 1995-1999 cluster_2 184.046 -23.8797 1995 5 27 5.5 0.1642456 0.9808350 6
KERMADEC1 1995-1999 cluster_1 182.629 -30.2835 1997 3 30 5.6 2.500610 64.58765 10
KERMADEC1 1995-1999 cluster_2 183.468 -27.9844 1995 3 18 5.5 12.53183 65.99683 5
KERMADEC2 1995-1999 cluster_1 182.383 -30.7263 1997 2 3 6.1 1.728149 119.1935 26
KERMADEC3 1995-1999 cluster_1 181.001 -34.293 1998 9 12 5.5 3.831787 241.8103 6
KERMADEC3 1995-1999 cluster_2 180.801 -34.0242 1999 10 9 4.8 0.7292480 6.110352 5
KERMADEC3 1995-1999 cluster_3 181.512 -33.4362 1995 9 22 6.4 0.1203613 138.2037 20
KERMADEC3 1995-1999 cluster_4 181.393 -32.917 1997 5 15 5.3 1.588623 34.96130 8
KERMADEC3 1995-1999 cluster_5 181.398 -32.6571 1996 7 8 5.5 0.8308105 60.53174 7
HIKURANGI 1995-1999 cluster_1 178.575 -37.877 1995 10 12 5.1 0.3295288 43.39771 5
VANUATU1 1995-1999 cluster_2 171.249 -22.6526 1995 7 12 5.6 56.82361 189.4769 5
VANUATU2 1995-1999 cluster_1 168.651 -19.0043 1996 12 16 6.1 14.64526 149.6318 6
VANUATU2 1995-1999 cluster_2 169.456 -18.8793 1996 12 30 4.9 21.58496 100.3324 6
VANUATU2 1995-1999 cluster_3 169.11 -19.3027 1995 12 20 5.3 10.33972 54.07068 6
VANUATU2 1995-1999 cluster_4 168.25 -19.9644 1999 4 2 6.2 2.911987 31.09204 7
VANUATU3 1995-1999 cluster_2 167.775 -17.3268 1998 9 18 5.9 5.844727 30.50146 5
VANUATU3 1995-1999 cluster_3 168.717 -17.2488 1995 9 15 4.8 173.8995 669.1581 5
VANUATU3 1995-1999 cluster_4 167.709 -18.1121 1997 9 28 4.9 0.9341431 238.4299 7
VANUATU3 1995-1999 cluster_5 168.231 -18.2703 1998 6 18 6.1 1.220459 31.76721 8
VANUATU4 1995-1999 cluster_1 166.97 -13.9976 1998 7 6 5.3 13.34802 143.3516 10
VANUATU4 1995-1999 cluster_2 166.695 -14.0838 1996 11 26 5.4 7.3303223E-02 150.3398 13
VANUATU4 1995-1999 cluster_3 167.862 -15.499 1999 2 14 6. 13.81091 54.98071 5
VANUATU4 1995-1999 cluster_4 167.548 -15.3823 1998 1 14 5.3 18.51257 89.74841 6
VANUATU5 1995-1999 cluster_1 166.431 -13.5122 1997 3 5 6.2 5.3710938E-03 46.94678 6
VANUATU6 1995-1999 cluster_1 161.403 -10.7002 1996 1 7 4.9 0.2175903 1.017944 5
VANUATU6 1995-1999 cluster_2 165.377 -11.168 1999 12 28 6.2 0.1551514 0.9567871 5
NEW_BRITAIN1 1995-1999 cluster_1 155.235 -6.6174 1997 11 14 5.3 2.262878 12.45593 5
NEW_BRITAIN2 1995-1999 cluster_10 153.898 -5.26143 1996 8 27 4.8 15.40503 92.83289 7
